Year,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1920,Michigan,34.03,24.38,13.20,10.04,5.06,1.93
1920,Minnesota,33.51,23.16,11.88,8.73,4.06,1.12
1920,Mississippi,27.11,21.85,11.27,7.93,3.73,1.08
1920,Missouri,44.09,32.74,17.27,12.76,5.74,1.46
1920,Montana,31.46,19.27,7.90,5.42,2.31,0.78
1920,Nebraska,28.82,20.07,8.76,5.94,2.27,0.50
1920,Nevada,30.00,19.50,6.92,4.39,1.49,0.27
1920,New Hampshire,33.35,23.08,11.11,8.13,3.66,0.88
1920,New Jersey,41.36,30.18,15.98,11.85,5.39,1.61
1920,New Mexico,38.42,26.59,10.35,6.85,2.65,0.56
1920,New York,47.51,36.60,21.49,16.33,8.04,2.79
1920,North Carolina,32.12,27.11,14.31,10.96,5.87,2.34
1920,North Dakota,29.65,20.10,7.72,5.15,1.93,0.36
1920,Ohio,35.98,25.91,13.79,10.32,4.82,1.43
1920,Oklahoma,37.83,27.57,13.79,10.11,4.84,1.48
1920,Oregon,30.15,21.09,9.87,7.15,3.29,1.13
1920,Pennsylvania,38.34,28.77,16.24,12.50,6.20,1.93
1920,Rhode Island,39.53,30.24,18.29,14.26,7.22,2.29
1920,South Carolina,29.03,23.58,10.87,7.80,3.61,0.93
1920,South Dakota,25.71,17.54,6.86,4.55,1.61,0.31
1920,Tennessee,39.58,32.81,16.34,11.95,5.34,1.30
1920,Texas,39.78,27.45,12.52,9.15,4.29,1.19
1920,Utah,29.78,19.39,8.51,5.93,2.35,0.47
1920,Vermont,38.55,27.93,13.89,10.42,5.09,1.57
1920,Virginia,36.86,25.85,12.37,8.99,3.86,0.92
1920,Washington,29.51,20.17,8.64,6.08,2.63,0.80
1920,West Virginia,27.27,18.88,9.32,6.95,3.23,0.74
1920,Wisconsin,35.60,25.25,12.91,9.30,4.12,1.00
1920,Wyoming,20.58,13.58,5.49,3.76,1.49,0.35
1921,United States,43.18,30.80,15.64,11.70,5.60,1.69
1921,Alabama,35.41,30.72,13.71,9.69,4.45,1.39
1921,Arizona,39.05,23.34,8.60,5.55,2.13,0.49
1921,Arkansas,29.51,24.50,10.80,7.49,3.29,0.80
1921,California,39.19,28.27,13.73,9.84,4.16,0.95
1921,Colorado,38.47,26.39,12.02,8.60,3.85,1.07
1921,Connecticut,44.06,32.38,16.87,12.39,5.32,1.22
1921,Delaware,62.49,43.57,22.32,16.71,7.89,2.23
1921,District of Columbia,39.53,27.78,13.74,9.94,4.37,0.97
1921,Florida,46.20,34.09,15.35,10.92,4.65,1.15
1921,Georgia,40.93,34.65,14.97,10.58,4.94,1.37
1921,Idaho,27.64,17.66,6.02,3.77,1.50,0.42
1921,Illinois,39.60,29.33,14.93,11.05,5.05,1.47
1921,Indiana,36.67,25.19,11.17,8.06,3.61,0.94
1921,Iowa,31.78,21.55,9.03,6.31,2.61,0.62
1921,Kansas,34.12,23.36,9.42,6.41,2.58,0.58
1921,Kentucky,38.89,31.20,14.21,10.02,4.45,1.10
1921,Louisiana,42.23,30.74,13.34,9.63,4.33,1.13
1921,Maine,38.07,27.00,13.35,9.79,4.69,1.53
1921,Maryland,53.89,39.20,19.05,13.90,6.24,1.74
1921,Massachusetts,42.02,31.48,17.11,12.79,5.81,1.53
1921,Michigan,39.59,28.26,14.38,10.80,5.40,1.94
1921,Minnesota,37.71,26.40,12.76,9.39,4.33,1.09
1921,Mississippi,29.13,24.09,12.16,8.25,3.55,0.96
1921,Missouri,44.55,31.94,15.82,11.63,5.21,1.33
1921,Montana,37.93,24.03,9.05,6.05,2.59,0.72
1921,Nebraska,35.07,24.03,10.18,7.07,2.97,0.71
1921,Nevada,34.31,22.34,8.36,5.55,2.40,0.77
1921,New Hampshire,36.12,25.17,11.66,8.38,3.65,0.94
1921,New Jersey,45.69,33.43,16.84,12.34,5.65,1.66
1921,New Mexico,41.74,31.72,11.52,7.55,3.19,0.87
1921,New York,48.27,37.33,21.15,15.91,7.64,2.52
1921,North Carolina,33.79,29.01,13.83,9.97,4.91,1.63
1921,North Dakota,33.56,25.17,9.28,6.00,2.28,0.52
1921,Ohio,41.16,29.14,14.79,11.01,5.12,1.46
1921,Oklahoma,40.88,30.38,13.17,9.26,4.00,0.98
1921,Oregon,32.81,22.16,10.48,7.58,3.56,1.40
1921,Pennsylvania,40.95,29.88,15.83,12.08,6.02,1.90
1921,Rhode Island,42.55,32.44,18.89,14.60,7.37,2.53
1921,South Carolina,30.98,26.04,12.12,8.30,3.64,1.01
1921,South Dakota,32.25,23.76,8.95,5.79,2.23,0.49
1921,Tennessee,42.09,35.09,15.98,11.43,5.01,1.15
1921,Texas,44.39,30.36,12.46,8.78,4.11,1.18
1921,Utah,34.64,22.88,9.55,6.58,2.55,0.51
1921,Vermont,41.20,29.61,13.66,9.91,4.51,1.21
1921,Virginia,40.55,30.20,12.98,9.16,3.95,0.95
1921,Washington,39.42,26.26,10.14,7.05,3.09,0.92
1921,West Virginia,32.71,22.31,10.24,7.44,3.34,0.87
1921,Wisconsin,37.82,27.57,12.41,8.83,3.87,0.99
1921,Wyoming,24.39,15.85,6.42,4.51,1.94,0.55
1922,United States,43.72,31.94,17.06,13.06,6.64,2.27
1922,Alabama,35.36,30.60,14.41,10.26,4.77,1.25
1922,Arizona,38.70,25.71,9.96,6.75,2.94,0.74
1922,Arkansas,29.68,24.62,11.91,8.51,3.91,1.07
1922,California,38.93,28.55,14.59,10.63,4.58,1.22
1922,Colorado,39.38,27.94,13.96,10.58,5.66,2.43
1922,Connecticut,43.02,31.80,17.05,12.78,5.65,1.41
1922,Delaware,58.32,42.33,23.52,18.21,8.74,2.49
1922,District of Columbia,44.61,32.73,17.42,12.84,5.88,1.73
1922,Florida,46.41,35.29,17.14,12.56,5.93,1.97
1922,Georgia,40.73,33.96,15.24,11.06,5.28,1.48
1922,Idaho,27.25,17.64,6.27,3.97,1.62,0.42
1922,Illinois,42.02,31.09,16.73,12.70,6.19,2.04
1922,Indiana,36.61,25.42,11.71,8.55,3.94,1.08
1922,Iowa,29.43,19.00,7.89,5.58,2.47,0.65
1922,Kansas,34.69,24.12,10.06,6.99,2.99,0.73
1922,Kentucky,38.79,31.31,15.12,10.99,4.97,1.21
1922,Louisiana,42.34,31.18,14.10,10.33,4.82,1.29
1922,Maine,38.91,28.01,13.90,10.46,5.24,1.79
1922,Maryland,54.43,39.87,20.52,15.25,6.94,2.11
1922,Massachusetts,44.25,33.79,19.31,14.73,7.04,2.11
1922,Michigan,39.50,28.52,15.37,12.13,6.91,3.24
1922,Minnesota,38.39,27.52,13.65,10.23,4.96,1.33
1922,Mississippi,28.84,23.74,12.29,8.67,4.09,1.22
1922,Missouri,44.76,32.77,16.90,12.65,5.81,1.47
1922,Montana,37.20,24.11,9.25,6.18,2.68,0.76
1922,Nebraska,36.00,24.77,10.55,7.43,3.20,0.79
1922,Nevada,34.52,22.35,7.65,4.85,1.85,0.40
1922,New Hampshire,37.13,26.44,12.88,9.56,4.49,1.21
1922,New Jersey,44.46,32.54,17.22,13.11,6.65,2.64
1922,New Mexico,41.87,32.49,12.22,8.00,3.45,0.94
1922,New York,49.71,39.18,23.53,18.22,9.43,3.52
1922,North Carolina,32.47,26.24,12.27,9.15,4.68,1.64
1922,North Dakota,33.37,24.96,9.10,5.88,2.25,0.51
1922,Ohio,41.85,30.24,15.84,12.04,5.96,2.01
1922,Oklahoma,40.75,31.44,15.35,11.33,5.49,2.16
1922,Oregon,33.49,23.17,11.18,8.23,4.01,1.32
1922,Pennsylvania,43.37,32.42,17.97,13.92,7.09,2.33
1922,Rhode Island,42.12,32.43,19.13,14.87,7.51,2.47
1922,South Carolina,30.61,25.60,12.01,8.35,3.74,0.97
1922,South Dakota,32.17,23.63,8.85,5.71,2.24,0.54
1922,Tennessee,41.77,34.22,16.68,12.25,5.70,1.47
1922,Texas,45.11,32.49,14.14,10.28,5.18,1.86
1922,Utah,33.85,22.58,9.91,7.09,3.09,0.78
1922,Vermont,41.18,30.12,14.69,10.99,5.54,1.96
1922,Virginia,40.85,31.68,14.51,10.54,4.83,1.34
1922,Washington,36.99,24.24,9.76,6.85,3.07,0.86
1922,West Virginia,34.52,24.45,11.62,8.67,4.06,1.15
1922,Wisconsin,36.39,26.37,12.77,9.35,4.36,1.15
1922,Wyoming,26.20,17.19,7.12,4.93,2.00,0.43
1923,United States,41.46,29.78,15.64,11.91,5.91,2.00
1923,Alabama,34.72,29.25,13.68,10.03,4.85,1.50
1923,Arizona,36.90,23.93,9.23,6.34,2.80,0.77
1923,Arkansas,29.25,24.16,11.09,7.75,3.79,1.14
1923,California,36.87,26.56,13.75,9.96,4.30,1.22
1923,Colorado,38.45,25.99,12.41,9.24,4.61,1.61
1923,Connecticut,40.52,29.63,16.59,12.50,5.82,1.76
1923,Delaware,57.70,42.18,23.29,17.84,8.41,1.98
1923,District of Columbia,50.16,34.03,14.98,10.77,4.79,1.10
1923,Florida,45.44,32.99,16.68,12.87,6.21,2.11
1923,Georgia,40.60,33.77,15.32,11.15,5.27,1.36
1923,Idaho,26.41,16.90,6.04,3.84,1.67,0.61
1923,Illinois,39.75,28.72,15.65,11.80,5.71,2.00
1923,Indiana,34.28,23.13,10.66,7.87,3.63,1.05
1923,Iowa,29.27,19.49,8.16,5.82,2.61,0.75
1923,Kansas,34.19,22.93,9.17,6.23,2.77,0.72
1923,Kentucky,39.08,32.09,15.18,11.12,5.03,1.32
1923,Louisiana,42.43,31.46,14.39,10.68,4.98,1.39
1923,Maine,37.26,26.13,13.05,9.77,4.77,1.61
1923,Maryland,52.76,39.16,20.79,15.41,6.80,2.07
1923,Massachusetts,42.13,30.90,17.10,12.80,5.88,1.63
1923,Michigan,34.44,24.42,13.14,10.22,5.49,2.31
1923,Minnesota,37.01,27.00,12.97,9.79,4.75,1.35
1923,Mississippi,28.66,23.54,12.25,8.67,4.26,1.36
1923,Missouri,43.22,31.05,15.83,11.83,5.49,1.48
1923,Montana,34.97,21.66,7.92,5.34,2.21,0.57
1923,Nebraska,35.37,24.18,9.88,7.02,3.06,0.84
1923,Nevada,33.64,20.91,7.34,4.87,1.98,0.60
1923,New Hampshire,34.08,23.63,11.16,8.19,3.71,0.88
1923,New Jersey,45.85,33.29,17.68,13.20,6.37,2.20
1923,New Mexico,41.58,31.52,11.62,7.49,3.30,0.93
1923,New York,47.16,36.19,21.68,16.63,8.55,3.24
1923,North Carolina,31.59,24.84,11.92,8.91,4.65,1.68
1923,North Dakota,33.61,25.30,9.11,5.74,2.17,0.44
1923,Ohio,37.07,26.41,13.40,10.06,4.81,1.53
1923,Oklahoma,41.03,31.21,14.21,10.18,4.36,1.31
1923,Oregon,31.63,21.36,9.82,7.12,3.26,0.91
1923,Pennsylvania,38.27,28.03,15.76,12.10,6.05,2.04
1923,Rhode Island,36.36,26.87,15.34,11.72,5.67,1.71
1923,South Carolina,30.37,25.34,12.74,9.25,4.79,1.90
1923,South Dakota,31.88,23.34,8.61,5.65,2.23,0.53
1923,Tennessee,41.37,33.61,15.28,11.28,5.13,1.25
1923,Texas,44.84,31.39,13.46,9.73,4.52,1.26
1923,Utah,33.44,21.91,8.99,6.39,2.63,0.61
1923,Vermont,37.92,26.74,13.54,10.19,5.32,2.20
1923,Virginia,40.41,29.90,12.87,9.34,4.10,1.07
1923,Washington,34.56,22.52,9.03,6.46,2.90,0.74
1923,West Virginia,31.26,21.13,9.68,7.24,3.49,1.09
1923,Wisconsin,33.97,23.51,10.39,7.62,3.59,1.03
1923,Wyoming,24.52,15.67,6.01,4.26,1.76,0.41
1924,United States,44.41,32.11,17.42,13.40,6.79,2.32
1924,Alabama,35.49,30.58,14.85,10.84,5.20,1.53
1924,Arizona,39.55,26.64,10.65,7.38,3.20,0.91
1924,Arkansas,29.62,24.43,11.26,7.99,3.81,1.14
1924,California,38.78,28.13,15.12,11.12,5.06,1.48
1924,Colorado,39.10,27.09,13.37,10.03,4.85,1.44
1924,Connecticut,44.03,32.89,19.01,14.36,6.65,1.80
1924,Delaware,62.65,47.89,29.86,24.28,13.52,4.80
1924,District of Columbia,45.85,33.68,18.16,13.29,5.78,1.59
1924,Florida,42.80,32.20,17.83,13.43,6.08,1.91
1924,Georgia,41.72,36.04,16.94,12.36,5.92,1.64
1924,Idaho,29.38,19.73,7.01,4.52,1.75,0.40
1924,Illinois,42.15,30.68,16.79,12.68,6.20,2.04
1924,Indiana,37.23,26.59,12.60,9.30,4.30,1.22
1924,Iowa,33.03,23.54,10.38,7.48,3.42,0.92
1924,Kansas,35.30,25.20,11.03,7.86,3.48,0.91
