Year,Stage,Host-Country,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,MatchID
1978,Group 1,Argentina,Argentina,2,1,Hungary,,2199
1978,Group 3,Argentina,Sweden,1,1,Brazil,,2253
1978,Group 3,Argentina,Austria,2,1,Spain,,2216
1978,Group 4,Argentina,Peru,3,1,Scotland,,2451
1978,Group 4,Argentina,Netherlands,3,0,IR Iran,,2388
1978,Group 1,Argentina,Italy,3,1,Hungary,,2396
1978,Group 2,Argentina,Poland,1,0,Tunisia,,2454
1978,Group 2,Argentina,Germany FR,6,0,Mexico,,2350
1978,Group 1,Argentina,Argentina,2,1,France,,2197
1978,Group 3,Argentina,Brazil,0,0,Spain,,2246
1978,Group 3,Argentina,Austria,1,0,Sweden,,2224
1978,Group 4,Argentina,Scotland,1,1,IR Iran,,2408
1978,Group 4,Argentina,Netherlands,0,0,Peru,,2394
1978,Group 1,Argentina,France,3,1,Hungary,,2344
1978,Group 2,Argentina,Poland,3,1,Mexico,,2431
1978,Group 2,Argentina,Germany FR,0,0,Tunisia,,2352
1978,Group 1,Argentina,Italy,1,0,Argentina,,2200
1978,Group 3,Argentina,Brazil,1,0,Austria,,2215
1978,Group 3,Argentina,Spain,1,0,Sweden,,2337
1978,Group 4,Argentina,Peru,4,1,Iran,,2405
1978,Group 4,Argentina,Scotland,3,2,Netherlands,,2395
1978,Group A,Argentina,Germany FR,0,0,Italy,,2349
1978,Group A,Argentina,Netherlands,5,1,Austria,,2220
1978,Group B,Argentina,Brazil,3,0,Peru,,2251
1978,Group B,Argentina,Argentina,2,0,Poland,,2202
1978,Group B,Argentina,Poland,1,0,Peru,,2450
1978,Group A,Argentina,Italy,1,0,Austria,,2221
1978,Group A,Argentina,Germany FR,2,2,Netherlands,,2348
1978,Group B,Argentina,Argentina,0,0,Brazil,,2196
1978,Group A,Argentina,Netherlands,2,1,Italy,,2391
1978,Group A,Argentina,Austria,3,2,Germany FR,,2217
1978,Group B,Argentina,Brazil,3,1,Poland,,2252
1978,Group B,Argentina,Argentina,6,0,Peru,,2201
1978,Match for third place,Argentina,Brazil,2,1,Italy,,2247
1978,Final,Argentina,Argentina,3,1,Netherlands,Argentina win after extra time,2198
1982,Group 3,Argentina,Argentina,0,1,Belgium,,749
1982,Group 1,Spain,Italy,0,0,Poland,,995
1982,Group 6,Spain,Brazil,2,1,Soviet Union,,791
1982,Group 1,Spain,Peru,0,0,Cameroon,,833
1982,Group 3,Spain,Hungary,10,1,El Salvador,,896
1982,Group 6,Spain,Scotland,5,2,New Zealand,,1051
1982,Group 2,Spain,Germany FR,1,2,Algeria,,741
1982,Group 4,Spain,England,3,1,France,,878
1982,Group 5,Spain,Spain,1,1,Honduras,,901
1982,Group 2,Spain,Chile,0,1,Austria,,764
1982,Group 4,Spain,Czechoslovakia,1,1,Kuwait,,1012
1982,Group 5,Spain,Yugoslavia,0,0,Northern Ireland,,1044
1982,Group 1,Spain,Italy,1,1,Peru,,994
1982,Group 3,Spain,Argentina,4,1,Hungary,,752
1982,Group 6,Spain,Brazil,4,1,Scotland,,790
1982,Group 1,Spain,Poland,0,0,Cameroon,,834
1982,Group 3,Spain,Belgium,1,0,El Salvador,,774
1982,Group 6,Spain,Soviet Union,3,0,New Zealand,,1054
1982,Group 2,Spain,Germany FR,4,1,Chile,,813
1982,Group 4,Spain,England,2,0,Czechoslovakia,,889
1982,Group 5,Spain,Spain,2,1,Yugoslavia,,903
1982,Group 2,Spain,Algeria,0,2,Austria,,739
1982,Group 4,Spain,France,4,1,Kuwait,,919
1982,Group 5,Spain,Honduras,1,1,Northern Ireland,,959
1982,Group 1,Spain,Poland,5,1,Peru,,1055
1982,Group 3,Spain,Belgium,1,1,Hungary,,779
