Year,Tournament,Mens_Winner,Mens_RunnerUp,Womens_Winner,Womens_RunnerUp,
1958,Wimbledon,Ashley J. Cooper,Neale Fraser,Althea Gibson,Angela Mortimer,
1958,French Open,Mervyn Rose,Luis Ayala,Zsuzsi Kormoczy,Shirley Bloomer,
1958,Australian Open,Ashley J. Cooper,Mal Anderson,Angela Mortimer,Lorraine Coghlan,
1957,U.S. Open,Malcolm J. Anderson,Ashley J. Cooper,Althea Gibson,A. Louise Brough,
1957,Wimbledon,Lewis Hoad,Ashley Cooper,Althea Gibson,Darlene Hard,
1957,French Open,Sven Davidson,Herbert Flam,Shirley Bloomer,Dorothy Head Knode,
1957,Australian Open,Ashley J. Cooper,Neale Fraser,Shirley Fry,Althea Gibson,
1956,U.S. Open,Ken Rosewall,Lewis Hoad,Shirley Fry,Althea Gibson,
1956,Wimbledon,Lewis Hoad,Ken Rosewall,Shirley Fry,Angela Buxton,
1956,French Open,Lewis Hoad,Sven Davidson,Althea Gibson,Angela Mortimer,
1956,Australian Open,Lewis Hoad,Ken Rosewall,Mary Carter,Thelma Long,
1955,U.S. Open,Tony Trabert,Ken Rosewall,Doris Hart,Patricia Ward,
1955,Wimbledon,Tony Trabert,Kurt Nielsen,Louise Brough,Beverly Fleitz,
1955,French Open,Tony Trabert,Sven Davidson,Angela Mortimer,Dorothy Head Knode,
1955,Australian Open,Ken Rosewall,Lew Hoad,Beryl Penrose,Thelma Long,
1954,U.S. Open,E. Victor Seixas Jr.,Rex Hartwig,Doris Hart,A. Louise Brough,
1954,Wimbledon,Jaroslav Drobny,Ken Rosewall,Maureen Connolly,Louise Brough,
1954,French Open,Tony Trabert,Sven Davidson,Maureen Connolly,Ginette Bucaille,
1954,Australian Open,Mervyn Rose,Rex Hartwig,Thelma Long,Jennifer Staley,
1953,U.S. Open,Tony Trabert,"E. Victor Seixas, Jr.",Maureen Connolly,Doris Hart,
1953,Wimbledon,E. Victor Seixas Jr.,Kurt Nielsen,Maureen Connolly,Doris Hart,
1953,French Open,Ken Rosewall,"E. Victor Seixas, Jr.",Maureen Connolly,Doris Hart,
1953,Australian Open,Ken Rosewall,Mervyn Rose,Maureen Connolly,Julia Sampson,
1952,U.S. Open,Frank Sedgman,Gardnar Mulloy,Maureen Connolly,Doris Hart,
1952,Wimbledon,Frank Sedgman,Jaroslav Drobny,Maureen Connolly,Louise Brough,
1952,French Open,Jaroslav Drobny,Frank Sedgman,Doris Hart,Shirley Fry,
1952,Australian Open,Ken McGregor,Frank Sedgman,Thelma Long,H. Angwin,
1951,U.S. Open,Frank Sedgman,"E. Victor Seixas, Jr.",Maureen Connolly,Shirley Fry,
1951,Wimbledon,R. Savitt,Ken McGregor,Doris Hart,Shirley Fry,
1951,French Open,Jaroslav Drobny,Eric Sturgess,Shirley Fry,Doris Hart,
1951,Australian Open,Dick Savitt,Ken McGregor,Nancye Wynne Bolton,Thelma Long-Coyne,
1950,U.S. Open,Arthur Larsen,Herbert Flam,Margaret Osborne duPont,Doris Hart,
1950,Wimbledon,J.E. Patty,Frank Sedgman,Louise Brough,Margaret Osborne duPont,
1950,French Open,Budge Patty,Jaroslav Drobny,Doris Hart,Patricia Todd,
1950,Australian Open,Frank Sedgman,Ken McGregor,A. Louise Brough,Doris Hart,
1949,U.S. Open,Richard A. Gonzales,Frederick Schroeder,Margaret Osborne duPont,Doris Hart,
1949,Wimbledon,F.R. Schroeder,Jaroslav Drobny,Louise Brough,Margaret Osborne duPont,
1949,French Open,Frank Parker,Budge Patty,Margaret Osborne duPont,Nelly Adamson,
1949,Australian Open,Frank Sedgman,John Bromwich,Doris Hart,Nancye Bolton,
